,Neighborhood,Location,Latitude,Longitude,bar,restaurant,food_drink,shopping,entertainment,outdoor,others,Cluster Labels
1,Willowbrook,Northwest,29.9558598,-95.5459787,0.04,0.16000000000000003,0.08999999999999998,0.6200000000000001,0.01,0.02,0.06,1
2,Greater Greenspoint,North,29.940678899999998,-95.4139056,0.03225806451612903,0.3225806451612903,0.24193548387096772,0.22580645161290322,0.016129032258064516,0.016129032258064516,0.14516129032258063,1
3,Carverdale,Northwest,29.858707799999998,-95.545162,0.0,0.05,0.3,0.1,0.0,0.0,0.55,3
4,Fairbanks / Northwest Crossing,Northwest,29.850912199999996,-95.5154068,0.03508771929824561,0.21052631578947367,0.21052631578947367,0.43859649122807015,0.0,0.05263157894736842,0.05263157894736842,1
5,Greater Inwood,Northwest,29.86573869999999,-95.48043440000001,0.0,0.16666666666666666,0.23333333333333334,0.30000000000000004,0.0,0.0,0.3,1
6,Acres Home,Northwest,29.870719,-95.436543,0.0,0.25,0.0,0.25,0.0,0.0,0.5,3
7,Hidden Valley,North,29.8896157,-95.41819740000001,0.0,0.14285714285714285,0.23809523809523808,0.3571428571428571,0.0,0.0,0.26190476190476186,1
8,Westbranch,West,29.8382464,-95.5520192,0.0,0.14285714285714285,0.4642857142857142,0.10714285714285714,0.0,0.07142857142857142,0.21428571428571427,2
9,Addicks / Park Ten,West,29.8132687,-95.64547590000001,0.0,0.0,0.0,0.0,0.0,0.2,0.8,2
10,Spring Branch West,West,29.802855400000002,-95.4754992,0.058823529411764705,0.2745098039215686,0.21568627450980393,0.3137254901960784,0.0,0.0,0.13725490196078433,1
11,Langwood,Northwest,29.825972200000002,-95.4936915,0.0,0.2,0.125,0.325,0.025,0.0,0.325,1
12,Central Northwest (formerly Near Northwest),Northwest,29.84702099999999,-95.5041303,0.04918032786885246,0.22950819672131148,0.19672131147540983,0.3442622950819672,0.01639344262295082,0.04918032786885246,0.11475409836065573,1
13,Independence Heights,North,29.82841669999999,-95.39771590000001,0.046511627906976744,0.16279069767441862,0.27906976744186046,0.3023255813953488,0.023255813953488372,0.06976744186046512,0.11627906976744186,1
14,Lazybrook / Timbergrove,Northwest,29.8016005,-95.438085,0.09722222222222221,0.26388888888888884,0.18055555555555555,0.2222222222222222,0.0,0.041666666666666664,0.19444444444444445,0
15,Greater Heights,Northwest,29.796214199999998,-95.399105,0.06,0.27,0.16,0.32,0.02,0.03,0.14,1
16,Memorial,West,29.772557399999997,-95.575926,0.025974025974025976,0.2337662337662338,0.18181818181818182,0.38961038961038963,0.0,0.012987012987012988,0.15584415584415584,1
17,Eldridge / West Oaks,West,29.756230199999997,-95.4730189,0.03125,0.3229166666666667,0.16666666666666666,0.2604166666666667,0.0,0.020833333333333332,0.19791666666666666,1
18,Briar Forest,West,29.74783499999999,-95.5872933,0.045454545454545456,0.36363636363636365,0.14772727272727273,0.2727272727272727,0.0,0.022727272727272728,0.14772727272727273,1
19,Westchase,West,29.7277555,-95.5716617,0.05952380952380952,0.30952380952380953,0.27380952380952384,0.14285714285714285,0.023809523809523808,0.03571428571428571,0.15476190476190477,0
20,Mid-West (formerly Woodlake/Briarmeadow),West,29.7374609,-95.5142195,0.0,0.28571428571428575,0.1978021978021978,0.29670329670329676,0.03296703296703297,0.01098901098901099,0.1758241758241758,1
21,Greater Uptown,West,29.741004800000002,-95.4610278,0.02,0.26,0.12,0.42,0.01,0.01,0.16,1
22,Washington Avenue Coalition / Memorial Park,West,29.7770697,-95.4354935,0.06666666666666667,0.11666666666666667,0.1,0.15,0.03333333333333333,0.08333333333333334,0.45,0
23,Afton Oaks / River Oaks,West,29.7333549,-95.458372,0.02,0.26,0.14,0.39999999999999997,0.01,0.01,0.16,1
24,Neartown / Montrose,Southwest,29.742668,-95.39918879999999,0.16,0.23000000000000004,0.23,0.25,0.0,0.01,0.12,0
25,Alief,Southwest,29.682720399999997,-95.593239,0.0,0.19999999999999998,0.3,0.3666666666666667,0.03333333333333333,0.0,0.1,1
26,Sharpstown,Southwest,29.705174699999997,-95.5212898,0.0,0.2463768115942029,0.2028985507246377,0.33333333333333337,0.028985507246376812,0.028985507246376812,0.15942028985507248,1
27,Gulfton,Southwest,29.7164567,-95.4805999,0.02,0.29000000000000004,0.21,0.3,0.01,0.02,0.15000000000000002,1
28,University Place,Southwest,29.718548,-95.40894870000001,0.09,0.22999999999999998,0.19,0.31,0.01,0.01,0.16000000000000003,0
29,Westwood,Southwest,29.675325899999997,-95.55022070000001,0.023809523809523808,0.33333333333333326,0.09523809523809523,0.30952380952380953,0.0,0.0,0.23809523809523808,1
30,Braeburn,Southwest,29.6768908,-95.5283682,0.04081632653061224,0.22448979591836735,0.14285714285714285,0.346938775510204,0.0,0.0,0.24489795918367346,1
31,Meyerland,Southwest,29.686582,-95.4647224,0.0,0.15714285714285714,0.2,0.48571428571428565,0.0,0.014285714285714285,0.14285714285714285,1
32,Braeswood,Southwest,29.689657699999998,-95.4400613,0.0,0.037037037037037035,0.37037037037037035,0.14814814814814814,0.0,0.07407407407407407,0.37037037037037035,2
33,Medical Center,South,29.709872499999996,-95.39731,0.011627906976744186,0.12790697674418605,0.1744186046511628,0.08139534883720931,0.023255813953488372,0.06976744186046512,0.5116279069767442,2
34,Astrodome Area,South,29.6852077,-95.4032257,0.05434782608695652,0.25,0.21739130434782608,0.25,0.010869565217391304,0.03260869565217391,0.18478260869565216,1
35,South Main,South,29.6725728,-95.4201377,0.1,0.2142857142857143,0.18571428571428572,0.2714285714285714,0.0,0.014285714285714285,0.21428571428571427,0
36,Brays Oaks (formerly Greater Fondren S.W.),Southwest,29.655711199999995,-95.5280193,0.0,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.043478260869565216,0.0,0.30434782608695654,1
37,Westbury,Southwest,29.6536089,-95.4804133,0.05,0.05,0.15000000000000002,0.25,0.05,0.0,0.45,0
38,Willow Meadows / Willowbend,Southwest,29.6733001,-95.4398826,0.025,0.175,0.2,0.22500000000000003,0.025,0.025,0.32500000000000007,1
39,Fondren Gardens,Southwest,29.626325800000004,-95.50127320000001,0.027777777777777776,0.1388888888888889,0.25,0.3055555555555556,0.0,0.0,0.2777777777777778,1
40,Central Southwest,South,29.628241499999998,-95.43079370000001,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,3
41,Fort Bend / Houston,Southwest,29.5692614,-95.8142885,0.0,0.1764705882352941,0.2941176470588235,0.23529411764705882,0.0,0.0,0.2941176470588235,1
42,IAH Airport,North,29.990219899999996,-95.3367827,0.018867924528301886,0.20754716981132076,0.22641509433962265,0.22641509433962265,0.0,0.0,0.32075471698113206,1
43,Kingwood,Northeast,30.0500255,-95.1844774,0.0,0.18181818181818182,0.2727272727272727,0.2545454545454545,0.0,0.03636363636363636,0.2545454545454545,1
44,Lake Houston,Northeast,29.9723669,-95.1379946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
45,Northside / Northline,North,29.8594534,-95.38467740000002,0.0,0.21428571428571427,0.2857142857142857,0.3571428571428571,0.023809523809523808,0.0,0.11904761904761904,1
46,Jensen,Northeast,29.848152399999996,-95.3429072,0.0,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.0,0.0,0.3684210526315789,1
47,East Little York / Homestead,Northeast,29.871409399999997,-95.3005979,0.0,0.0,0.2222222222222222,0.6666666666666667,0.0,0.0,0.1111111111111111,1
48,Trinity / Houston Gardens,Northeast,29.8313761,-95.3020313,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,2
49,East Houston,Northeast,29.829669899999995,-95.26993490000001,0.0,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.0,0.0,0.38461538461538464,1
50,Settegast,Northeast,29.815393100000005,-95.2809456,0.0,0.25,0.0,0.25,0.0,0.0,0.5,3
51,Northside Village,North,29.841130300000003,-95.410934,0.0,0.2222222222222222,0.25,0.3055555555555555,0.027777777777777776,0.027777777777777776,0.16666666666666669,1
52,Kashmere Gardens,Northeast,29.80038609999999,-95.3169786,0.0,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.0,0.0,0.13043478260869565,1
53,El Dorado / Oates Prairie,Northeast,29.80515189999999,-95.24051,0.0,0.0,0.0,0.25,0.0,0.0,0.75,3
54,Hunterwood,Northeast,29.8165393,-95.2136187,0.0,0.0,0.4,0.2,0.0,0.2,0.2,2
55,Greater Fifth Ward,Northeast,29.7761332,-95.32645,0.04,0.2,0.16,0.16,0.08,0.0,0.36,0
56,Denver Harbor / Port Houston,East,29.7743832,-95.30113990000001,0.0,0.25806451612903225,0.32258064516129026,0.12903225806451613,0.0,0.0,0.29032258064516125,1
57,Pleasantville Area,East,29.7708418,-95.2729257,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,2
58,Northshore,East,29.7758059,-95.2182628,0.0,0.3653846153846154,0.25,0.15384615384615385,0.019230769230769232,0.038461538461538464,0.17307692307692307,1
59,Clinton Park / Tri-Community,East,29.74371469999999,-95.255449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
60,Fourth Ward,West,29.7579028,-95.3808683,0.16,0.24000000000000002,0.21000000000000002,0.08,0.05,0.04,0.22,0
61,Downtown,â€”,29.755969800000003,-95.35731940000001,0.2,0.26,0.21999999999999997,0.02,0.04,0.02,0.24,0
62,Midtown,South,29.740795000000002,-95.37563440000001,0.12,0.29,0.27,0.15,0.05,0.02,0.1,0
63,Second Ward,East,29.751092600000003,-95.32400140000001,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.3448275862068966,0.0,0.0,0.20689655172413793,0
64,Greater Eastwood,Southeast,29.73570179999999,-95.33395820000001,0.07272727272727272,0.1272727272727273,0.2909090909090909,0.21818181818181817,0.03636363636363636,0.0,0.2545454545454545,0
65,Harrisburg / Manchester,Southeast,29.7185281,-95.2601563,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,3
66,Museum Park (formerly Binz),South,29.7215239,-95.3822353,0.05,0.17,0.1,0.1,0.05,0.01,0.52,0
67,Greater Third Ward,South,29.7278316,-95.3499071,0.045454545454545456,0.19696969696969696,0.34848484848484845,0.19696969696969696,0.015151515151515152,0.045454545454545456,0.1515151515151515,1
68,Greater OST / South Union,Southeast,29.6911506,-95.3528565,0.0,0.17073170731707318,0.1951219512195122,0.4634146341463415,0.0,0.0,0.17073170731707318,1
69,Gulfgate Riverview / Pine Valley,Southeast,29.708621,-95.31679890000001,0.0,0.2325581395348837,0.18604651162790697,0.46511627906976744,0.0,0.0,0.11627906976744186,1
70,Pecan Park,Southeast,29.7064733,-95.286076,0.0,0.22666666666666666,0.2666666666666666,0.3466666666666666,0.0,0.013333333333333334,0.14666666666666667,1
71,Sunnyside,South,29.664119899999996,-95.3679941,0.0,0.30434782608695654,0.30434782608695654,0.2608695652173913,0.0,0.043478260869565216,0.08695652173913043,1
72,South Park,South,29.666326799999997,-95.3372099,0.0,0.125,0.0,0.25,0.0,0.0,0.625,3
73,Golfcrest / Bellfort / Reveille,Southeast,29.685152799999997,-95.29631150000002,0.0,0.1111111111111111,0.19444444444444442,0.41666666666666663,0.0,0.0,0.2777777777777778,1
74,Park Place,Southeast,29.6950953,-95.2646733,0.0,0.3571428571428571,0.0,0.21428571428571427,0.0,0.14285714285714285,0.2857142857142857,2
75,Meadowbrook / Allendale,Southeast,29.687466600000004,-95.2461412,0.0,0.08333333333333333,0.0,0.41666666666666663,0.0,0.16666666666666666,0.3333333333333333,2
76,South Acres / Crestmont Park,South,29.627639600000002,-95.3556233,0.125,0.125,0.125,0.25,0.0,0.0,0.375,0
77,Minnetex,South,29.625626399999998,-95.3239403,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
78,Greater Hobby Area,Southeast,29.625410700000003,-95.2854369,0.0,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.0,0.0,0.18181818181818182,1
79,Edgebrook,Southeast,29.64539329999999,-95.2265511,0.0,0.2894736842105263,0.2631578947368421,0.23684210526315788,0.0,0.0,0.21052631578947367,1
80,South Belt / Ellington,Southeast,29.6015354,-95.21606750000001,0.045454545454545456,0.3181818181818182,0.18181818181818182,0.30303030303030304,0.030303030303030304,0.0,0.12121212121212122,1
81,Clear Lake,Southeast,29.58573599999999,-95.13278290000001,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.26666666666666666,0.0,0.0,0.4,1
82,Magnolia Park,East,29.737171399999998,-95.2924745,0.0,0.3157894736842105,0.18421052631578946,0.10526315789473684,0.02631578947368421,0.0,0.3684210526315789,1
83,MacGregor,Southeast,29.7102924,-95.35632120000001,0.02127659574468085,0.14893617021276595,0.3404255319148936,0.2553191489361702,0.0,0.0,0.23404255319148937,1
84,Spring Branch North,Northwest,29.822703399999998,-95.5452559,0.0,0.25000000000000006,0.2777777777777778,0.19444444444444442,0.0,0.08333333333333333,0.19444444444444445,2
85,Spring Branch Central,Northwest,29.811081199999997,-95.5095815,0.058823529411764705,0.23529411764705885,0.20588235294117646,0.2647058823529412,0.0,0.08823529411764706,0.14705882352941177,1
86,Spring Branch East,Northwest,29.7908472,-95.5446297,0.03,0.3,0.18000000000000002,0.37,0.01,0.0,0.11000000000000001,1
87,Greenway / Upper Kirby,Southwest,29.732674300000003,-95.4332335,0.05,0.37,0.21,0.21000000000000002,0.01,0.04,0.11000000000000001,1
88,Lawndale / Wayside,Southeast,29.7247703,-95.31124190000001,0.016666666666666666,0.26666666666666666,0.26666666666666666,0.33333333333333337,0.016666666666666666,0.0,0.1,1
